id,brand,color_name,color_code,finish_type,texture_code,image_url,source_image_url,notes
MEL-AGT-026,AGT,SuperMatt Sahara Cream,3019,supermatt,,/melamines/MEL-AGT-026.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2024/04/Sahara-Cream-w-2.jpg,
MEL-AGT-027,AGT,SuperMatt Merlot Red,3026,supermatt,,/melamines/MEL-AGT-027.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/decotec-Merlot-Red-3026.jpg,
MEL-AGT-028,AGT,SuperMatt Onyx Black,3010,supermatt,,/melamines/MEL-AGT-028.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/decotech-Onyx-Black-3010.jpg,
MEL-AGT-029,AGT,Galaxy White Matt,3006,supermatt,,/melamines/MEL-AGT-029.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-Galaxy-White-matt-3006.jpg,
MEL-AGT-030,AGT,White,601,high_gloss,,/melamines/MEL-AGT-030.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-White-HG-601.jpg,
MEL-AGT-031,AGT,Galaxy White,670,high_gloss,,/melamines/MEL-AGT-031.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-Galaxy-White-high-gloss-G2s-670.jpg,
MEL-AGT-032,AGT,Antique White,647,high_gloss,,/melamines/MEL-AGT-032.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-antique-white-647-HG-1.jpg,
MEL-AGT-033,AGT,Matrix,675,high_gloss,,/melamines/MEL-AGT-033.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-Matrix-675-scaled.jpg,
MEL-AGT-034,AGT,Porte Pearl,6004,high_gloss,,/melamines/MEL-AGT-034.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2024/11/Porte-Pearl-HG-6004-1.jpg,
MEL-AGT-035,AGT,Arctic Grey,313,high_gloss,,/melamines/MEL-AGT-035.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-arctic-grey-313-HG-PET.jpg,
MEL-AGT-036,AGT,ECD Light Grey,6016,high_gloss,,/melamines/MEL-AGT-036.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2023/01/ECD-Light-Grey-6016-HG.jpg.png,
MEL-AGT-037,AGT,ECD Vision,6015,high_gloss,,/melamines/MEL-AGT-037.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/ECD-Vision-HG-6017.jpg,
MEL-AGT-038,AGT,Sunset Grey,6012,high_gloss,,/melamines/MEL-AGT-038.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/HG-6012.jpg,
MEL-AGT-039,AGT,Slate Grey,425,high_gloss,,/melamines/MEL-AGT-039.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/HG-608.jpg,
MEL-AGT-040,AGT,Metallic Anthracite,608,high_gloss,,/melamines/MEL-AGT-040.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2023/01/Metallic-Anthtacite-608-HG-Scaled-2-e1673389530334.jpg,
MEL-AGT-041,AGT,Black,6002,high_gloss,,/melamines/MEL-AGT-041.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-Black6002-HG.jpg,
MEL-AGT-042,AGT,Milano Walnut,627,high_gloss,,/melamines/MEL-AGT-042.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-High-Gloss-and-supermatt-line-Milano-Walnut-HG-627.jpg,
MEL-AGT-043,AGT,Imperia,633,high_gloss,,/melamines/MEL-AGT-043.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-High-Gloss-and-supermatt-line-HG-633.jpg,
MEL-AGT-044,AGT,Ebony,604,high_gloss,,/melamines/MEL-AGT-044.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-High-Gloss-and-supermatt-line-Ebony-604-HG-PET-G2S.jpg,
MEL-AGT-045,AGT,Metallic Elm,603,high_gloss,,/melamines/MEL-AGT-045.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-High-Gloss-and-supermatt-line-metalic-elm-603-HG-g2s-NEW-option-3.jpg,
MEL-AGT-046,AGT,Delphi Oak,3039,specialty,,/melamines/MEL-AGT-046.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2024/11/Delphi-Oak-3039.jpg,
MEL-AGT-047,AGT,Natural Touch Oak,397,specialty,,/melamines/MEL-AGT-047.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2024/03/Natural-Touch-Oak-397-w.jpg,
MEL-AGT-048,AGT,Light Walnut,239,specialty,,/melamines/MEL-AGT-048.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2024/02/Light-Walnut-239-w.png,
MEL-AGT-049,AGT,Peru Oak,3041,specialty,,/melamines/MEL-AGT-049.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2024/02/Peru-Oak-3041-w.png,
MEL-AGT-050,AGT,Texas Oak,3037,specialty,,/melamines/MEL-AGT-050.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2024/02/Texas-Oak-3037-w.png,
MEL-AGT-051,AGT,Vermont Oak,3038,specialty,,/melamines/MEL-AGT-051.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2024/02/Vermont-Oak-3038-w.png,
MEL-AGT-052,AGT,Picasso Gold,395,specialty,,/melamines/MEL-AGT-052.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-picasso-gold-395-.jpg,
MEL-AGT-053,AGT,Picasso Inox,394,specialty,,/melamines/MEL-AGT-053.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-picasso-inox-394-option-2.jpg,
MEL-AGT-054,AGT,Cashmere White Matt,383,specialty,,/melamines/MEL-AGT-054.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-final-Cashmere-white-matt-383-NEW-option-1.jpg,
MEL-AGT-055,AGT,Cashmere Grey Matt,387,specialty,,/melamines/MEL-AGT-055.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-final-Cashmere-Grey-matt-387.jpg,
MEL-AGT-056,AGT,Cashmere Gold Matt,384,specialty,,/melamines/MEL-AGT-056.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/AGT-final-Cashmere-Gold-matt-384.jpg,
MEL-AGT-057,AGT,Spectrum Rose,6026,specialty,,/melamines/MEL-AGT-057.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2024/05/Spectrum-Rose-6026-.jpg,
MEL-EGG-001,Egger,White Halifax Oak,H1176,textured_tfl,ST37,/melamines/MEL-EGG-001.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/08/H1176-White-Halifax-Oak-ST37.jpg,via Decotec
MEL-EGG-002,Egger,Natural Halifax Oak,H1180,textured_tfl,ST37,/melamines/MEL-EGG-002.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/h1180.jpg,via Decotec
MEL-EGG-003,Egger,Pewter Halifax Oak,H3176,textured_tfl,ST37,/melamines/MEL-EGG-003.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/h3176.jpg,via Decotec
MEL-EGG-004,Egger,Tobacco Halifax Oak,H1181,textured_tfl,ST37,/melamines/MEL-EGG-004.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/08/H1181-Tobacco-Halifax-ST37.jpg,via Decotec
MEL-EGG-005,Egger,White Fineline,H3195,textured_tfl,ST19,/melamines/MEL-EGG-005.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/08/H3195-White-Fineline-ST19.jpg,via Decotec
MEL-EGG-006,Egger,Medium Grey Fineline,H3197,textured_tfl,ST19,/melamines/MEL-EGG-006.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2025/05/result_H3197-ST19-Medium-Grey-Fineline-e1746105503209.png,via Decotec
MEL-EGG-007,Egger,Dark Grey Fineline,H3198,textured_tfl,ST19,/melamines/MEL-EGG-007.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/08/H3198-Dark-Grey-Fineline-ST19.jpg,via Decotec
MEL-EGG-008,Egger,White Linen,F422,textured_tfl,ST10,/melamines/MEL-EGG-008.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/F422.jpg,via Decotec
MEL-EGG-009,Egger,Beige Textile,F416,textured_tfl,ST10,/melamines/MEL-EGG-009.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/f416.jpg,via Decotec
MEL-EGG-010,Egger,Grey Textile,F417,textured_tfl,ST10,/melamines/MEL-EGG-010.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/11/Grey-Linen-Cropped.jpg,via Decotec
MEL-EGG-011,Egger,Anthracite Linen,F433,textured_tfl,ST10,/melamines/MEL-EGG-011.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/f433.jpg,via Decotec
MEL-EGG-012,Egger,Metallic Inox,F500,textured_tfl,ST20,/melamines/MEL-EGG-012.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/F500-Metallic-Inox-ST20-e1715101730927.jpg,via Decotec
MEL-EGG-013,Egger,Brushed Brass,F784,textured_tfl,ST20,/melamines/MEL-EGG-013.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/09/F784-Brushed-Brass-ST20-e1715101753150.jpg,via Decotec
MEL-EGG-014,Egger,Cubanite Steelbrush,F434,textured_tfl,ST20,/melamines/MEL-EGG-014.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2024/05/F434-Cubanite-Steelbrush-ST20-.jpg,via Decotec
MEL-EGG-015,Egger,Stone Grey Frozen Wood,H1288,textured_tfl,ST19,/melamines/MEL-EGG-015.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2024/05/H1288-Stone-Grey-Frozen-Wood-ST19-1-1.jpg,via Decotec
MEL-EGG-016,Egger,Carbon Frozen Wood,H1292,textured_tfl,ST19,/melamines/MEL-EGG-016.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/08/H1292-Carbon-Frozen-Wood-ST19.jpg,via Decotec
MEL-EGG-017,Egger,Parona Walnut,H1715,textured_tfl,ST12,/melamines/MEL-EGG-017.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2024/05/H1715-Parona-Walnut-ST12-.jpg,via Decotec
MEL-EGG-018,Egger,Light Tennessee Walnut,H3775,textured_tfl,ST12,/melamines/MEL-EGG-018.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/H3775.jpg,via Decotec
MEL-EGG-019,Egger,Lincoln Walnut,H1714,textured_tfl,ST19,/melamines/MEL-EGG-019.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2024/05/H1714-Lincoln-Walnut-ST19-.jpg,via Decotec
MEL-EGG-020,Egger,Brown Bolivar Wood,H3787,textured_tfl,ST19,/melamines/MEL-EGG-020.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2026/02/H3787-Brown-Bolivar-Wood-1.png,via Decotec
MEL-EGG-021,Egger,Acacia Sheffield Graphite,H1247,textured_tfl,ST17,/melamines/MEL-EGG-021.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2026/02/H1247_Acacia-Sheffield-Graphite-1.png,via Decotec
MEL-EGG-022,Egger,Dark Brown Eucalyptus,H3043,textured_tfl,ST12,/melamines/MEL-EGG-022.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/08/H3043-Dark-Brown-Eucalyptus-ST12.jpg,via Decotec
MEL-EGG-023,Egger,Honey Carini Walnut,H3790,textured_tfl,ST12,/melamines/MEL-EGG-023.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/08/H3790-Honey-Carini-Walnut-ST12.jpg,via Decotec
MEL-EGG-024,Egger,Bleached Carini Walnut,H3773,textured_tfl,ST12,/melamines/MEL-EGG-024.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/H3773.jpg,via Decotec
MEL-EGG-025,Egger,Natural Carini Walnut,H3710,textured_tfl,ST12,/melamines/MEL-EGG-025.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/H3710.jpg,via Decotec
MEL-EGG-026,Egger,Chocolate Carini Walnut,H3794,textured_tfl,ST12,/melamines/MEL-EGG-026.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/08/H3794-Chocolate-Caarini-Walnut-ST12.jpg,via Decotec
MEL-EGG-027,Egger,Light Vicenza Oak,H3165,textured_tfl,ST12,/melamines/MEL-EGG-027.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2025/05/H3165-ST12-Light-Vicenza-Oak-reduced-e1746105862467.jpg,via Decotec
MEL-EGG-028,Egger,Bleached Vicenza Oak,H3152,textured_tfl,ST19,/melamines/MEL-EGG-028.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2024/05/H3152-Bleached-Vicenza-Oak-ST19-.jpg,via Decotec
MEL-EGG-029,Egger,Vicenza Oak,H3157,textured_tfl,ST12,/melamines/MEL-EGG-029.jpg,https://cdn-decotecinc.b-cdn.net/wp-content/uploads/2022/07/H3157.jpg,via Decotec
