id,name,vendor,cabdoor_preset_id,construction,compatible_finish,placeholder,notes
DS-CD-116,#116 Standard Shaker,Cab Door,116,frame_and_panel,paint;stain,false,"ACC default shaker. 2.25"" stile/rail, 1/8"" radius on edge and profile, flat panel."
DS-CD-113,#113 Reverse Raised Panel,Cab Door,113,frame_and_panel,paint;stain,false,Reverse raised panel. Cab Door style #113.
DS-CD-PRESET,Cab Door Preset,Cab Door,,frame_and_panel,paint;stain,false,Select from Cab Door preset catalog — specify in Schedules tab.
DS-CD-CUSTOM,Cab Door Custom,Cab Door,,custom,paint;stain,false,"Custom Cab Door spec — specify Edge, Profile, and Panel options below."
DS-SLAB-MDF,Slab MDF,"In-house;Cab Door",,slab,paint;melamine;plam,false,Modern slab — paint or melamine or PLAM
DS-OTHER,Other,,,custom,,false,Non-Cab-Door or fully custom — specify in Notes.
