brand,name,code,hex
SW,Sycamore Tan,SW2855,#9c8a79
SW,Fairfax Brown,SW2856,#61463a
SW,Peace Yellow,SW2857,#eecf9e
SW,Harvest Gold,SW2858,#d9a06a
SW,Beige,SW2859,#dfc8b5
SW,Sage,SW2860,#b3ae95
SW,Avocado,SW2861,#857c5d
SW,Powder Blue,SW2863,#89a4ad
SW,Classical Yellow,SW2865,#f8d492
SW,Snowfall,SW6000,#e0deda
SW,Grayish,SW6001,#cfcac7
SW,Essential Gray,SW6002,#bcb8b6
SW,Proper Gray,SW6003,#ada8a5
SW,Mink,SW6004,#847b77
SW,Folkstone,SW6005,#6d6562
SW,Black Bean,SW6006,#403330
SW,Smart White,SW6007,#e4dbd8
SW,Individual White,SW6008,#d4cdca
SW,Imagine,SW6009,#c2b6b6
SW,Flexible Gray,SW6010,#b1a3a1
SW,Chinchilla,SW6011,#867875
SW,Browse Brown,SW6012,#6e615f
SW,Bitter Chocolate,SW6013,#4d3c3c
SW,Vaguely Mauve,SW6015,#d1c5c4
SW,Chaise Mauve,SW6016,#c1b2b3
SW,Intuitive,SW6017,#b3a3a5
SW,Enigma,SW6018,#8b7c7e
SW,Poetry Plum,SW6019,#6f5c5f
SW,Marooned,SW6020,#4e3132
SW,Dreamy White,SW6021,#e3d9d5
SW,Breathless,SW6022,#d6c2be
SW,Insightful Rose,SW6023,#c9b0ab
SW,Dressy Rose,SW6024,#b89d9a
SW,Socialite,SW6025,#907676
SW,River Rouge,SW6026,#76595d
SW,Cordovan,SW6027,#5f3d3f
SW,Cultured Pearl,SW6028,#e5dcd6
SW,White Truffle,SW6029,#d7c8c2
SW,Artistic Taupe,SW6030,#c3b1ac
SW,Glamour,SW6031,#b6a09a
SW,Dutch Cocoa,SW6032,#8c706a
SW,Bateau Brown,SW6033,#7a5f5a
SW,Dark Auburn,SW6034,#5a3532
SW,Gauzy White,SW6035,#e3dbd4
SW,Angora,SW6036,#d1c5be
SW,Temperate Taupe,SW6037,#bfb1aa
SW,Truly Taupe,SW6038,#ac9e97
SW,Poised Taupe,SW6039,#8c7e78
SW,Nutshell,SW6040,#756761
SW,Otter,SW6041,#56433b
SW,Hush White,SW6042,#e5dad4
SW,Unfussy Beige,SW6043,#d6c8c0
SW,Doeskin,SW6044,#c6b3a9
SW,Emerging Taupe,SW6045,#b8a196
SW,Swing Brown,SW6046,#947569
SW,Hot Cocoa,SW6047,#806257
SW,Terra Brun,SW6048,#5a382d
SW,Gorgeous White,SW6049,#e7dbd3
SW,Abalone Shell,SW6050,#dbc7bd
SW,Sashay Sand,SW6051,#cfb4a8
SW,Sandbank,SW6052,#c3a497
SW,Reddened Earth,SW6053,#9c6e63
SW,Canyon Clay,SW6054,#85594f
SW,Fiery Brown,SW6055,#5d3831
SW,Polite White,SW6056,#e9ddd4
SW,Malted Milk,SW6057,#decabd
SW,Likeable Sand,SW6058,#d1b7a8
SW,Interface Tan,SW6059,#c1a392
SW,Moroccan Spice,SW6060,#9d7868
SW,Tanbark,SW6061,#896656
SW,Vintage Leather,SW6062,#694336
SW,Nice White,SW6063,#e6ddd5
SW,Reticence,SW6064,#d9cdc3
SW,Bona Fide Beige,SW6065,#cbb9ab
SW,Sand Trap,SW6066,#bba595
SW,Mocha,SW6067,#967a6a
SW,Brevity Brown,SW6068,#715243
SW,French Roast,SW6069,#4f3426
SW,Heron Plume,SW6070,#e5e1d8
SW,Popular Gray,SW6071,#d4ccc3
SW,Versatile Gray,SW6072,#c1b6ab
SW,Perfect Greige,SW6073,#b7ab9f
SW,Spalding Gray,SW6074,#8d7f75
SW,Garret Gray,SW6075,#756861
SW,Turkish Coffee,SW6076,#4d3930
SW,Everyday White,SW6077,#e4dcd4
SW,Realist Beige,SW6078,#d3c8bd
SW,Diverse Beige,SW6079,#c2b4a7
SW,Utterly Beige,SW6080,#b5a597
SW,Down Home,SW6081,#907865
SW,Cobble Brown,SW6082,#7a6455
SW,Sable,SW6083,#5f4b3f
SW,Modest White,SW6084,#e6ddd4
SW,Simplify Beige,SW6085,#d6c7b9
SW,Sand Dune,SW6086,#c5b1a2
SW,Trusty Tan,SW6087,#b59f8f
SW,Nuthatch,SW6088,#8e725f
SW,Grounded,SW6089,#785b47
SW,Java,SW6090,#634533
SW,Reliable White,SW6091,#e8ded3
SW,Lightweight Beige,SW6092,#dac8b8
SW,Familiar Beige,SW6093,#cab3a0
SW,Sensational Sand,SW6094,#bfa38d
SW,Toasty,SW6095,#957258
SW,Jute Brown,SW6096,#815d40
SW,Sturdy Brown,SW6097,#69482c
SW,Pacer White,SW6098,#e5ddd0
SW,Sand Dollar,SW6099,#d7c5b3
SW,Practical Beige,SW6100,#c9b29c
SW,Sands of Time,SW6101,#bca38b
SW,Portabello,SW6102,#947a62
SW,Tea Chest,SW6103,#7d644d
SW,Kaffee,SW6104,#65503d
SW,Divine White,SW6105,#e6dccd
SW,Kilim Beige,SW6106,#d7c5ae
SW,Nomadic Desert,SW6107,#c7b198
SW,Latte,SW6108,#baa185
SW,Hopsack,SW6109,#9e8163
SW,Steady Brown,SW6110,#8a6b4d
SW,Coconut Husk,SW6111,#70573f
SW,Biscuit,SW6112,#ebddcb
SW,Interactive Cream,SW6113,#e4caad
SW,Bagel,SW6114,#d7b593
SW,Totally Tan,SW6115,#cca683
SW,Tatami Tan,SW6116,#ba8c64
SW,Smokey Topaz,SW6117,#a57955
SW,Leather Bound,SW6118,#8d623d
SW,Antique White,SW6119,#e8dcc6
SW,Believable Buff,SW6120,#dbc7a8
SW,Whole Wheat,SW6121,#cdb592
SW,Camelback,SW6122,#c5aa85
SW,Baguette,SW6123,#b39167
SW,Cardboard,SW6124,#9c7a56
SW,Craft Paper,SW6125,#8a6645
SW,Navajo White,SW6126,#e9dcc6
SW,Ivoire,SW6127,#e4ceac
SW,Blonde,SW6128,#dcbd92
SW,Restrained Gold,SW6129,#d2b084
SW,Mannered Gold,SW6130,#c19763
SW,Chamois,SW6131,#ad8451
SW,Relic Bronze,SW6132,#906a3a
SW,Muslin,SW6133,#eadfc9
SW,Netsuke,SW6134,#e0cfb0
SW,Ecru,SW6135,#d0ba94
