profile_id,name,is_default,frame_type,back_method,overlay_type,joinery_method,mat_thickness_in,body_mat_cost_per_sf,back_thickness_in,back_mat_cost_per_sf,toekick_height_in,door_reveal_side_in,door_reveal_top_in,door_reveal_bottom_in,door_reveal_between_in,top_nailer_height_in,face_frame_width_in,face_frame_cost_per_lf,labor_assembly_mult,notes
ACC_STD,ACC Standard Frameless,true,frameless,dado,full,pocket_screw,0.75,3.22,0.5,2.40,4.0,0.125,0.125,0.125,0.125,3.5,0,0,1.00,"Euro frameless. 3/4 PF maple ply body ($3.22/SF from PPAK 2026), 1/2 back, 4in toekick, 1/8in full-overlay reveals. Dado back. Pocket screw assembly."
ACC_MEL,ACC Melamine Frameless,false,frameless,dado,full,pocket_screw,0.75,1.72,0.5,1.20,4.0,0.125,0.125,0.125,0.125,3.5,0,0,1.00,"Euro frameless melamine box. Hardrock maple mel body ($1.72/SF), 1/2 back. Use for melamine finish jobs."
ACC_CLOSET,ACC Closet / Melamine,false,frameless,plant_on,full,pocket_screw,0.75,1.72,0.25,1.20,4.0,0.125,0.125,0.125,0.125,3.5,0,0,0.90,"Closet/storage system. 3/4 body, 1/4 plant-on back (hardboard). Faster assembly (0.90x labor)."
ACC_COMMERCIAL,ACC Commercial Frameless,false,frameless,dado,full,pocket_screw,0.75,3.22,0.5,2.40,4.0,0.0625,0.0625,0.0625,0.0625,3.5,0,0,1.00,"Tighter 1/16in reveals for commercial installs. Same materials as ACC_STD."
GENERIC_FF_PLY,Generic Face Frame -- Plywood,false,face_frame,dado,half,pocket_screw,0.75,3.50,0.25,1.20,4.5,0,0,0,0.125,3.5,1.5,0.85,1.10,"Traditional American face frame. 3/4 ply box, 1/4 dado back, 1-1/2in face frame stiles/rails at ~$0.85/LF. Half overlay. Pocket screw assembly (1.10x labor vs frameless). Verify material costs."
GENERIC_FF_MEL,Generic Face Frame -- Melamine,false,face_frame,plant_on,half,cam_lock,0.75,2.00,0.25,0.80,4.5,0,0,0,0.125,3.5,1.5,0.75,1.05,"Budget face frame. Melamine box, plant-on back, cam-lock RTA assembly. 1-1/2in face frame. Verify material costs."
GENERIC_INSET,Generic Inset Frameless,false,frameless,dado,inset,dowel,0.75,4.50,0.5,2.40,4.0,0.0625,0.0625,0.0625,0.0625,3.5,0,0,1.25,"European inset (door sits flush in opening). Tight 1/16in reveals all around. Dowel construction (1.25x labor -- higher precision required). Premium material cost. Verify."
